기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20260503201000,79606.7,58432.9,57600.0,21173.8,36.236,10051.8,16.8524
20260503201500,79591.4,58677.3,57600.0,20914.1,35.6425,9677.92,16.1596
20260503202000,79566.2,58395.8,57600.0,21170.5,36.2534,9752.59,16.361
20260503202500,79559.6,58185.9,57600.0,21373.8,36.7336,9967.53,16.7772
20260503203000,79546.4,57938.4,57600.0,21608.0,37.2948,10183.9,17.2074
20260503203500,79534.1,57767.1,57600.0,21767.0,37.6807,10299.5,17.4554
20260503204000,79527.7,58061.0,57600.0,21466.7,36.9727,10090.2,17.0211
20260503204500,79540.5,58010.0,57600.0,21530.5,37.1151,10123.8,17.0925
20260503205000,79524.4,58031.1,57600.0,21493.3,37.0375,10152.8,17.1355
20260503205500,79550.6,57670.1,57600.0,21880.5,37.9408,10498.5,17.8282
20260503210000,79587.9,57566.6,57600.0,22021.3,38.2536,10478.2,17.8226
20260503210500,79672.4,57492.3,57600.0,22180.1,38.5793,10524.6,17.9209
20260503211000,79702.1,57488.3,57600.0,22213.8,38.6405,10498.6,17.8837
20260503211500,79714.2,57403.4,57600.0,22310.8,38.8668,10447.1,17.8214
20260503212000,79710.2,56915.7,57600.0,22794.5,40.0496,10833.2,18.6361
20260503212500,79727.1,56664.4,57600.0,23062.7,40.7005,10659.0,18.4101
20260503213000,79786.0,57054.6,57600.0,22731.3,39.8413,10219.8,17.5399
20260503213500,79775.8,56825.9,57600.0,22949.9,40.3863,10209.7,17.5918
20260503214000,79825.9,56652.7,57600.0,23173.2,40.904,10128.0,17.5032
20260503214500,79824.6,56467.2,57600.0,23357.5,41.3647,10675.4,18.5087
20260503215000,79918.1,56251.4,57600.0,23666.7,42.0731,10772.4,18.7439
20260503215500,79900.9,56068.1,57600.0,23832.8,42.5068,11091.2,19.3585
20260503220000,79960.3,56325.0,57600.0,23635.3,41.9624,10705.7,18.607
20260503220500,80053.4,56815.1,57600.0,23238.4,40.9018,9794.7,16.8797
20260503221000,80041.8,56557.1,57600.0,23484.8,41.524,9538.9,16.5126
20260503221500,80071.3,56305.7,57600.0,23765.6,42.2081,9760.16,16.9692
20260503222000,80086.8,56305.6,57600.0,23781.2,42.2361,9483.73,16.4895
20260503222500,80086.6,56261.0,57600.0,23825.7,42.3485,9195.44,16.0007
20260503223000,80139.8,56099.0,57600.0,24040.8,42.8542,9098.02,15.8753
20260503223500,80151.1,55505.0,57600.0,24646.1,44.4034,9249.54,16.3073
20260503224000,80211.0,55460.4,57600.0,24750.7,44.6277,9293.55,16.3989
20260503224500,80218.1,55365.9,57600.0,24852.1,44.887,8947.91,15.8153
20260503225000,80225.3,55385.3,57600.0,24840.0,44.8495,9316.64,16.4621
20260503225500,80240.1,54921.1,57600.0,25319.0,46.1007,9680.36,17.2459
20260503230000,80293.3,55216.5,57600.0,25076.8,45.4154,9426.55,16.7067
20260503230500,80232.9,55324.0,57600.0,24909.0,45.0239,9281.72,16.4184
20260503231000,80249.6,55371.9,57600.0,24877.7,44.9283,9073.71,16.0366
20260503231500,80274.0,55084.4,57600.0,25189.6,45.7291,9536.92,16.9414
20260503232000,80286.8,54693.2,57600.0,25593.6,46.7949,9868.98,17.6477
20260503232500,80334.9,54398.3,57600.0,25936.7,47.6792,10003.9,17.9904
20260503233000,80369.6,54109.0,57600.0,26260.6,48.5328,10202.1,18.4444
20260503233500,80392.1,53920.6,57600.0,26471.5,49.0935,10774.9,19.547
20260503234000,80436.3,53847.8,57600.0,26588.5,49.3772,10760.8,19.5473
20260503234500,80467.2,53332.0,57600.0,27135.2,50.8797,11208.1,20.5523
20260503235000,80470.0,53185.9,57600.0,27284.1,51.2994,10488.2,19.2816
20260503235500,80492.2,53017.3,57600.0,27474.9,51.8224,10343.9,19.076
20260504000000,80493.3,52848.9,65300.0,27644.4,52.3083,10311.6,19.0753
20260504000500,79618.3,52427.4,65300.0,27190.9,51.8639,10271.9,19.151
20260504001000,79614.8,52200.2,65300.0,27414.6,52.5183,10247.2,19.1823
20260504001500,79617.0,51866.9,65300.0,27750.1,53.5026,10525.0,19.8206
20260504002000,79626.2,51427.2,65300.0,28199.0,54.833,10833.0,20.5802
20260504002500,79640.5,51407.2,65300.0,28233.3,54.921,10781.0,20.4889
20260504003000,79628.0,50828.4,65300.0,28799.6,56.6605,11195.8,21.5072
20260504003500,79627.4,50824.9,65300.0,28802.5,56.6699,11154.9,21.4385
20260504004000,79628.0,50841.3,65300.0,28786.8,56.6209,11211.5,21.5394
20260504004500,79631.9,50825.1,65300.0,28806.7,56.6782,11557.3,22.2107
20260504005000,79641.7,50654.7,65300.0,28987.0,57.2248,11733.5,22.6206
20260504005500,79642.9,50239.9,65300.0,29403.0,58.5252,11948.8,23.2214
20260504010000,79609.9,50217.2,65300.0,29392.7,58.531,12028.8,23.3898
20260504010500,79673.8,49947.2,65300.0,29726.6,59.5161,12298.4,24.0401
20260504011000,79685.0,49777.3,65300.0,29907.7,60.0829,12486.6,24.4883
20260504011500,79697.4,49726.7,65300.0,29970.7,60.2709,12539.4,24.6175
20260504012000,79692.6,49686.9,65300.0,30005.7,60.3896,12364.1,24.1982
20260504012500,79671.6,49487.7,65300.0,30184.0,60.9929,12465.0,24.4889
20260504013000,79645.7,49430.2,65300.0,30215.5,61.1276,12157.9,23.758
20260504013500,79648.8,49166.9,65300.0,30481.9,61.9969,12381.8,24.3207
20260504014000,79613.0,49060.0,65300.0,30553.0,62.2768,12490.6,24.5879
